站名,X,Y,color,人數,車位數,size
信安街67巷內平面停車場,53.4,-29.2,g,0,214,7
廣慈臨時平面停車場,81.4,-8.3,g,0,113,4
信義路5段150巷平面停車場,68.9,-31.4,g,0,18,1
松山車站地下停車場,74.6,3.8,g,0,431,14
松山工農地下停車場,69.7,-9,g,0,239,8
信義國小地下停車場,57.4,-25,g,0,230,8
吳興街220巷平面停車場,54.5,-29.2,g,0,96,3
雅祥公園地下停車場,69.2,4.4,g,0,204,7
松隆平面停車場,73.9,4.9,g,0,18,1
松壽廣場地下停車場,61.7,-11.4,g,0,446,15
松山高中地下停車場,58.6,-2.4,g,0,226,8
信義廣場地下停車場,62.3,-18.5,g,0,372,12
興雅國中地下停車場,70,-15.7,g,0,447,15
府前廣場地下停車場,53.9,-15.8,g,0,1980,66
春光公園地下停車場,80.5,-4.5,g,0,213,7
三張里地下停車場,62.7,-21.7,g,0,354,12
台北市災害應變中心地下停車場,61.2,-24.2,g,0,169,6
永吉路120巷平面停車場,66.2,-1.5,g,0,10,0
松德臨時平面停車場,71.1,-20.9,g,0,101,3
長安東路臨時平面停車場(一),15.5,1.2,g,0,5,0
建國北路高架橋下停車場(八德路-民族東路),23.4,28.8,g,0,1937,65
林森北路399巷臨時平面停車場,11.7,27.8,g,0,93,3
教育大學停車場,28,46.8,g,0,83,3
光復東村廣場停車場,29.4,11,g,0,178,6
市民大道(公中段),2.2,2.8,g,0,184,6
濱江國中地下停車場,55.5,46.7,g,0,209,7
濱江橋下平面停車場,29.9,36.6,g,0,18,1
市民大道(中林段),5.6,2.9,g,0,496,17
市民大道(林金段),10.2,2.9,g,0,970,32
市民大道(建復段),29.5,-2.2,g,0,174,6
進安公園地下停車場,25.5,0.2,g,0,151,5
林森公園地下停車場,11.3,10.5,g,0,850,28
永盛公園地下停車場,8.9,5.6,g,0,224,7
長安國小地下停車場,17.5,7,g,0,284,9
榮星公園地下停車場,25.6,26,g,0,242,8
新生北路高架橋下停車場,12.6,21.5,g,0,722,24
遼寧街、龍江路口平面停車場,30.9,12.5,g,0,27,1
中山北路2段42巷臨時平面停車場,4.8,13,g,0,22,1
樂群臨時平面停車場,52.5,50.9,g,0,151,5
中山運動中心旁平面停車場,4.9,14.1,g,0,54,2
啟聰學校地下停車場,-8.2,39.8,g,0,171,6
大龍國小地下停車場,-0.9,39.7,g,0,266,9
建成公園地下停車場,0.8,12,g,0,240,8
承德橋下停車場,1.2,44.7,g,0,181,6
蓬萊國小地下停車場,-1.8,13.5,g,0,297,10
台北大橋橋下停車場,-9.7,23.9,g,0,89,3
市民大道(塔城段),-9.9,5.8,g,0,252,8
建成國中地下停車場,1.5,4.2,g,0,326,11
塔城公園地下停車場,-9,6.4,g,0,155,5
大稻埕公園地下停車場,-9.2,17.4,g,0,196,7
成淵高中地下停車場,2.7,19.9,g,0,272,9
揚雅立體停車場,-2,30.7,g,0,204,7
朝陽公園地下停車場,-4.6,15.7,g,0,238,8
慶昌橋下停車場,-2.8,28.6,g,0,86,3
迪化汙水處理廠平面,-10.2,37.3,g,0,91,3
建國南路高架橋下停車場,24.2,16.2,g,0,1214,40
嘉興公園地下停車場,43.8,-35.2,g,0,194,6
辛亥路高架橋下停車場,20.5,-34.8,g,0,89,3
金華公園地下停車場,17.8,-24.1,g,0,193,6
大安森林公園地下停車場,25.5,-21,g,0,1356,45
大安高工地下停車場,30,-19.2,g,0,525,18
附中公園地下停車場,31.6,-15.1,g,0,118,4
龍門國中地下停車場,26.5,-31.8,g,0,730,24
僑安地下停車場,49.8,-7.5,g,0,422,14
延吉廢鐵道停車場,47.7,-3.5,g,0,231,8
四維廣場,38.9,-18.3,g,0,38,1
永建國小地下停車場,48.6,-83.71,g,0,211,7
樟新街平面停車場,50.8,-95.9,g,0,46,2
萬興國小地下停車場,75.5,-81.3,g,0,234,8
木柵路三段平面停車場,48.8,-80.4,g,0,48,2
政大三街臨時平面停車場,83.9,-85.9,g,0,50,2
景美國小地下停車場,29.4,-83.4,g,0,253,8
興隆公園地下停車場,42.2,-64.7,g,0,259,9
